Configuration,Success@IoU 0.5,Mean IoU,Prediction availability,Absent-target false-positive rate,Reacquisition rate
"Released checkpoint, no gate",0.48307526107310045,0.4282204309741733,0.545732805185452,0.2264691829909221,0.23300970873786409
"AGHRI experimental checkpoint, no gate",0.48301524426839515,0.42881800055695785,0.5145240667386868,0.20831342570473005,0.2621359223300971
"Released checkpoint, gate",0.556535830032409,0.49380522478549255,0.6477013563797863,0.2761586239847109,0.42718446601941745
"AGHRI experimental checkpoint, gate",0.550654183171288,0.48910552951851927,0.6355179450246069,0.25895843287147635,0.46601941747572817
