scenario,scene_name,camera,target_class,selected_video_frame,reason,method,success_rate_iou_threshold,mean_iou_on_visible_frames,prediction_availability_on_visible_frames,frame_iou_if_available,visualization_video,predictions_path,summary_metrics_path,per_frame_metrics_path
Footpath,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,cam_zed_rgb,01,174,clear visible target with Normal part-OCLReID correctly localized,Normal part-OCLReID,0.9710743801652892,0.8164940244183905,0.9793388429752066,0.9830611576435356,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/inference_visualization.mp4,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/predictions.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/evaluation/summary_metrics.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/evaluation/per_frame_metrics.csv
Footpath,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,cam_zed_rgb,01,174,clear visible target with Normal part-OCLReID correctly localized,rpf-ReID,0.02066115702479339,0.019192770311521876,0.02066115702479339,,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/inference_visualization.mp4,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/predictions.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/evaluation/summary_metrics.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/cam_zed_rgb/class_01/evaluation/per_frame_metrics.csv
Polytunnel,in_straw_3pick_diff_st_10_24_2024_5_a_label,cam_zed_rgb,06,149,target correctly localized with another detected person visible in the neighbouring row,Normal part-OCLReID,1.0,0.8561772731212262,1.0,0.853486646884273,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/inference_visualization.mp4,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/predictions.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/evaluation/summary_metrics.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/evaluation/per_frame_metrics.csv
Polytunnel,in_straw_3pick_diff_st_10_24_2024_5_a_label,cam_zed_rgb,06,149,target correctly localized with another detected person visible in the neighbouring row,rpf-ReID,0.032467532467532464,0.029129923306271555,0.032467532467532464,,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/inference_visualization.mp4,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/predictions.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/evaluation/summary_metrics.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part3/in_straw_3pick_diff_st_10_24_2024_5_a_label/cam_zed_rgb/class_06/evaluation/per_frame_metrics.csv
Vineyard,out_vine_4swap+walk_st_ly_11_06_2024_2_label,cam_zed_rgb,05,35,Normal part-OCLReID correctly localizes a more occluded target while rpf-ReID has no target detection on the same frame,Normal part-OCLReID,0.10877192982456141,0.10078800929606228,0.10877192982456141,0.980332304839453,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/inference_visualization.mp4,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/predictions.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/evaluation/summary_metrics.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/normal_part_oclreid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/evaluation/per_frame_metrics.csv
Vineyard,out_vine_4swap+walk_st_ly_11_06_2024_2_label,cam_zed_rgb,05,35,Normal part-OCLReID correctly localizes a more occluded target while rpf-ReID has no target detection on the same frame,rpf-ReID,0.0456140350877193,0.04398459830765097,0.0456140350877193,,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/inference_visualization.mp4,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/predictions.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/evaluation/summary_metrics.json,/home/prabuddhi/Desktop/OCLReID/results/test_full/rpf_reid/dataset_part4/out_vine_4swap+walk_st_ly_11_06_2024_2_label/cam_zed_rgb/class_05/evaluation/per_frame_metrics.csv
