Method,Success@IoU 0.5,Mean IoU,Prediction availability,Absent-target false-positive rate,Reacquisition rate,Wrong-person rate on visible frames
rpf-ReID,0.3604609290601368,0.32244049229799915,0.37714560076821513,0.0025481764612199395,0.32038834951456313,0.015004201176329373
Normal part-OCLReID,0.48307526107310045,0.42822043097417317,0.545732805185452,0.2264691829909221,0.23300970873786409,0.0597167206817909
Gated part-OCLReID,0.556535830032409,0.49380522478549277,0.6477013563797863,0.2761586239847109,0.42718446601941745,0.08588404753330933
