scenario,scene_name,camera,target_class,selected_video_frame,reason,method,success_rate_iou_threshold,mean_iou_on_visible_frames,prediction_availability_on_visible_frames,frame_iou_if_available
Footpath,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,cam_fish_front,01,166,front-fisheye footpath case where Normal part-OCLReID localizes the distant target while rpf-ReID is lost,Normal part-OCLReID,1.0,0.8385759574256607,1.0,0.95
Footpath,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,cam_fish_front,01,166,front-fisheye footpath case where Normal part-OCLReID localizes the distant target while rpf-ReID is lost,rpf-ReID,0.008665511265164644,0.00824841473824766,0.008665511265164644,
Polytunnel,in_straw_3pick_diff_st_10_24_2024_5_a_label,cam_fish_front,02,37,front-fisheye neighbouring-row target with stronger Normal part-OCLReID confidence than rpf-ReID,Normal part-OCLReID,0.4260869565217391,0.37887647319561363,0.4260869565217391,0.8702479338842976
Polytunnel,in_straw_3pick_diff_st_10_24_2024_5_a_label,cam_fish_front,02,37,front-fisheye neighbouring-row target with stronger Normal part-OCLReID confidence than rpf-ReID,rpf-ReID,0.4260869565217391,0.37887647319561363,0.4260869565217391,
Vineyard,out_vine_4swap+walk_st_ly_11_06_2024_2_label,cam_fish_front,02,623,front-fisheye vineyard case where Normal part-OCLReID localizes an occluded target while rpf-ReID is lost,Normal part-OCLReID,0.7374830852503383,0.6270039358328167,0.7401894451962111,0.9743285012348148
Vineyard,out_vine_4swap+walk_st_ly_11_06_2024_2_label,cam_fish_front,02,623,front-fisheye vineyard case where Normal part-OCLReID localizes an occluded target while rpf-ReID is lost,rpf-ReID,0.5006765899864682,0.42364084233021926,0.5006765899864682,
